Response ID,Time Started,Date Submitted,Referer,IP Address Hash,IP Country,IP City,IP State/Region,Residency,Black/African American:Race/Ethnicity (check any that apply),Asian:Race/Ethnicity (check any that apply),"LatinX (Hispanic, Latino, or Spanish):Race/Ethnicity (check any that apply)",Middle Eastern/North African:Race/Ethnicity (check any that apply),Native American:Race/Ethnicity (check any that apply),Pacific Islander:Race/Ethnicity (check any that apply),White:Race/Ethnicity (check any that apply),"I consider myself a member of an historically excluded group (e.g. Person of Color, LGBTQ)",Age,Gender,Mental Health Issues:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Homelessness:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Substance Abuse:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Protests and Demonstrations:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Traffic:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Intimate Partner Violence:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Other - Write In:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Other - Write In:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,"Do you believe police officers treat every community member with equal fairness and respect without considering their race, gender, age, religion or sexual orientation?","Have you or someone you know experienced  physical mistreatment, harassment, or intimidation by a police officer?","If yes, please elaborate","Requiring de-escalation and strict guidelines on using force, especially deadly force:Please indicate which of the following changes to policing you support:",Requiring mandatory body camera use and the automatic release of bodycam footage with 30 days of any major incident:Please indicate which of the following changes to policing you support:,"Publicly releasing all data on police interactions that require filing a report, including the race of the community members?:Please indicate which of the following changes to policing you support:","Ending profiling, ""Stop and Frisk"", and policing of minor issues:Please indicate which of the following changes to policing you support:",Requiring strong civilian oversight boards that can set policy and investigate complaints:Please indicate which of the following changes to policing you support:,"Prioritizing resources towards rigorous training to reinforce policies, including testing for bias in shoot/don't shoot decision making:Please indicate which of the following changes to policing you support:","Banning No Knock, and Knock and Enter warrants:Please indicate which of the following changes to policing you support:","Restricting the purchase, use, and deployment of military equipment:Please indicate which of the following changes to policing you support:",Removing any barriers in police contracts to effective misconduct investigations and civilian oversight:Please indicate which of the following changes to policing you support:,"Has anyone stolen something from you, your car, or your residence in the past 12 months, or have you been the victim of a crime?",How many times have you been involved in a traffic stop with a member of the Saratoga Springs Police Department?,How many times have you had contact with a member of the Saratoga Springs Police Department for something other than a traffic stop?,The SSPD listens to local residents and understands the issues that affect your neighborhood:Do you agree with the following statements?,The SSPD works together with community members to solve local problems.:Do you agree with the following statements?,I trust the SSPD to make decisions that are good for everyone in our city:Do you agree with the following statements?,The SSPD is effective at fighting crime:Do you agree with the following statements?,I trust the SSPD to investigate and discipline its own officers:Do you agree with the following statements?,"If I have a complaint against SSPD, I am confident it will be acted on objectively and respectfully:Do you agree with the following statements?",I can count on the SSPD to be there when I need them:Do you agree with the following statements?,"SSPD Officers uniformly treat people with fairness and respect without considering their race, gender, age, religion or sexual orientation:Do you agree with the following statements?",I approve of having police patrol my local neighborhood daily:Do you agree with the following statements?,I would like more officers moved from cars to out on foot patrol walking a beat:Do you agree with the following statements?,"Overall, how satisfied are you with the Saratoga Springs Police Department?",How would you improve the SSPD?,Entered Email
158,"Jan 26, 2021 12:10:33 PM","Jan 26, 2021 12:17:33 PM",http://m.facebook.com,2TdrnYstQhdPV2FVVYCeuA==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,1,1,1,1,,,,1,I think any of these things have the potential to be handled by someone other than police on a case by case basis.,0,0,,1,1,1,2,1,1,2,1,1,0,1,1,3,3,3,3,2,3,4,3,3,3,3,"I want to hear more local police departments and police officers condemning the behavior of ""bad cops"". ",No
159,"Jan 26, 2021 12:10:40 PM","Jan 26, 2021 12:13:12 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,CYd6Q3saSj19DPH+IIsvbA==,United States,Ballston Spa,NY,2,,,,,,,7,0,4,1,1,1,1,,,1,,,0,0,,1,1,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,4,2,3,,No
160,"Jan 26, 2021 12:18:56 PM","Jan 26, 2021 12:24:48 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,niOjyADs0h8XRGIk+fvSaQ==,United States,Albany,NY,1,,,,,,,7,0,5,1,1,1,1,,,,,,1,0,,1,2,2,1,0,1,1,0,0,0,1,2,5,5,5,5,5,5,5,5,5,4,5,,No
161,"Jan 26, 2021 12:19:31 PM","Jan 26, 2021 12:25:04 PM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,2,1,1,1,,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,5,5,5,5,2,5,Give the Officers more money for the hard work they do.,No
162,"Jan 26, 2021 12:20:12 PM","Jan 26, 2021 12:26:19 PM",http://m.facebook.com,gAPZ0GFMA06hZCwU8l8trg==,United States,Saratoga Springs,NY,1,,,,,,,7,1,5,2,1,1,1,,,1,,,0,0,,1,1,2,1,1,1,2,1,2,0,0,0,4,3,4,3,3,3,4,3,5,3,4,,Yes
163,"Jan 26, 2021 12:23:30 PM","Jan 26, 2021 12:26:18 PM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,2,,,,,,,7,1,3,1,1,,,,,,,,1,0,,1,0,0,1,0,1,0,0,1,1,0,4,4,4,4,4,4,4,4,4,4,2,5,,No
164,"Jan 26, 2021 12:27:14 PM","Jan 26, 2021 12:27:42 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,6GSCaNdV7TjJuRyAIx+8JQ==,United States,Saratoga Springs,NY,2,,,,,5,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
165,"Jan 26, 2021 12:27:32 PM","Jan 26, 2021 12:56:42 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,mKYKWmsKtr03XaN3jgjs5Q==,United States,Brooklyn,NY,1,,,,,,,7,0,5,1,1,,1,,,,,,1,0,,2,2,2,0,0,2,2,0,2,0,0,4,4,4,4,4,4,4,4,4,4,3,4,Let them do their job. ,No
166,"Jan 26, 2021 12:42:57 PM","Jan 26, 2021 12:43:24 PM",http://m.facebook.com,CRuu2D2k2Biuo4dF7kEY4Q==,United States,Monroe Township,NJ,5,,,,,,,7,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
167,"Jan 26, 2021 12:39:58 PM","Jan 26, 2021 4:08:17 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,JfLOcDRAHoiaVqAkHVmoHw==,United States,New York,NY,2,,,,,,,7,0,5,1,1,,1,,,,,,2,1,"A former colleague had to come into the office in the middle of the night for a conference call with clients in Asia.  He sat in his car prior to going into the office finishing a sandwich from McD's.  2 police officers hassled him about why he would be in his car in the middle of the night.  Race was not a factor, as my former colleague is white. ",1,1,2,2,2,1,1,2,1,0,0,0,4,4,5,5,4,3,5,3,4,5,5,,No
168,"Jan 26, 2021 12:48:00 PM","Jan 26, 2021 12:54:39 PM",https://l.facebook.com/,1ZLoZ54qC6ajiT26MZKDrw==,United States,Freehold,NJ,5,,,,,,,7,0,6,1,1,1,1,,1,,,,0,0,,1,1,1,1,1,1,1,1,2,0,0,0,3,3,3,3,3,3,3,3,1,3,3,,No
169,"Jan 26, 2021 12:51:27 PM","Jan 26, 2021 1:02:21 PM",https://t.co/GcVavWe54R?amp=1,XTmNoAK/dCp2NdTJGJD96w==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,2,1,1,1,,,,,,1,0,,1,0,0,0,2,2,0,0,1,0,0,1,4,4,4,4,4,4,4,4,4,4,4,,No
170,"Jan 26, 2021 12:51:35 PM","Jan 26, 2021 12:58:16 PM",https://t.co/,0jLRxBMU4W9g9y8WMFO1tQ==,United States,Edgartown,MA,1,,,,,,,7,0,5,2,1,1,1,,,,,,0,0,,1,1,1,1,1,1,1,1,1,0,2,3,4,4,3,3,2,2,4,2,4,4,4,"Less military equipment and friendlier uniforms. More foot patrols, particularly in the bar district.",Yes
171,"Jan 26, 2021 12:55:16 PM","Jan 26, 2021 1:01:36 PM",https://t.co/GcVavWe54R?amp=1,l6GLIMKeV4e1g3UeSjvM/w==,United States,Saratoga Springs,NY,1,,,,,,,7,0,6,1,1,1,1,,,1,,,1,0,,2,0,0,2,0,0,1,0,0,0,1,0,5,5,5,5,4,5,5,5,5,3,5,,No
172,"Jan 26, 2021 12:59:31 PM","Jan 26, 2021 1:04:11 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,p7SUF4rAV12LpqRXltc8Xg==,United States,Saratoga Springs,NY,1,1,,,,,,,1,4,2,1,1,,,,,,,0,0,,1,1,1,1,1,1,1,1,1,0,1,0,3,2,2,2,2,3,3,2,4,4,3,"Listen more to needs of marginalized communities, be open-minded to possibility of change and that change doesn't mean you're a racist.  Have regular meetings with marginalized community members to hear concerns. Provide data transparency and improved accountability so public trust will be high.",Yes
173,"Jan 26, 2021 1:15:19 PM","Jan 26, 2021 1:20:52 PM",https://m.facebook.com/,S6o9nQsyWoAZPPc9DVCeVw==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,1,1,1,1,1,1,1,,,0,1,My children's African-American friends are pulled over by the police much more than they or their white friends are.,1,1,1,1,1,1,1,1,1,0,0,1,3,3,2,3,1,1,3,2,3,4,2,,No
174,"Jan 26, 2021 1:24:20 PM","Jan 26, 2021 1:40:57 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,2,,1,,,,,,,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,1,5,"Cease all negotiations for 12hr shift change because it creates more mental fatigue and thus, more complaints.",Yes
175,"Jan 26, 2021 1:30:29 PM","Jan 26, 2021 1:37:20 PM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,2,1,,1,,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,5,5,5,5,5,3,5,I would add more officers so that they have officers specifically assigned to community outreach and more officers in our lower income neighborhoods. ,No
176,"Jan 26, 2021 1:31:50 PM","Jan 26, 2021 1:31:50 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,ryXvXhvwc0FrpxlcJSkx1w==,United States,Ballston Spa,NY,2,,,,,,,7,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
177,"Jan 26, 2021 1:30:34 PM","Jan 26, 2021 1:33:05 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,0bXxYGjDj2VZYm/YIHPY2w==,United States,Saratoga Springs,NY,2,,,,,,,7,0,3,2,1,1,,,,,,,1,0,,0,1,0,0,0,0,0,0,0,0,,,,,5,4,5,5,5,5,5,3,4,,No
178,"Jan 26, 2021 1:34:16 PM","Jan 26, 2021 1:41:11 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,61Vj9sK3IRFf6i6rhhYZHw==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,2,1,1,1,,,1,,,0,1,"I've had two close friends describe being detained and handcuffed because they ""fit the description"", which turned out to be ""black man walking down the street"" and behaving erratically in one instance, or looking suspicious in another.",1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,3,1,1,4,2,2,4,2,"Implement all of the police reforms listed previously.  Reconcile with the community regarding the Darryl Mount investigation coverup. Be more transparent with policies, including a public change log.  ",No
179,"Jan 26, 2021 1:40:02 PM","Jan 26, 2021 1:43:52 PM",http://m.facebook.com/,0NfVl9WEp1bP5hDQSPl5LA==,United States,Albany,NY,1,,,,,,,7,0,4,2,1,1,1,,,1,,,0,0,,1,1,1,1,1,1,0,1,1,1,1,1,3,3,2,3,2,3,4,3,3,4,3,,No
180,"Jan 26, 2021 1:44:04 PM","Jan 26, 2021 1:47:48 PM",https://mail.saratogapolice.org/,/1U8CqFASnti0io1dcK6tg==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,2,1,1,,,,,,,1,0,,2,0,1,0,0,1,0,0,0,0,1,1,4,,4,5,5,5,5,4,5,4,5,,No
181,"Jan 26, 2021 1:51:35 PM","Jan 26, 2021 1:54:34 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,gCEevOiYdZIuUfl4ewFIyw==,United States,College Park,MD,2,,,,,,,7,0,2,1,1,1,1,,,,,,1,0,,1,0,0,1,2,1,2,0,2,0,0,1,4,5,4,5,4,4,5,5,5,3,5,,No
182,"Jan 26, 2021 1:52:59 PM","Jan 26, 2021 1:56:39 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,ansch+0jcmCvv0noxdJswg==,United States,Bradenton,FL,2,,,,,,,7,0,4,1,1,1,,,,,,,2,0,,2,0,0,2,0,1,2,0,2,,,,,,,,,,,,,,,,No
183,"Jan 26, 2021 1:53:27 PM","Jan 26, 2021 1:58:26 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,v+XlsXRPQaWh4v9pV6y7fg==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,1,,1,,,,,,,1,0,,2,1,2,0,2,1,0,2,2,0,0,0,5,5,5,5,5,5,5,5,5,3,5,,Yes
184,"Jan 26, 2021 1:59:05 PM","Jan 26, 2021 1:59:05 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,7/vP16+gfRsqrK5ebj/KgA==,United States,Albany,NY,2,,,,,,,7,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
185,"Jan 26, 2021 2:02:14 PM","Jan 26, 2021 2:26:45 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,mz3ch7dDr1o/VhOEcoPR1A==,United States,Schenectady,NY,4,1,,,,,,,1,4,5,1,1,1,1,,1,1,School student conflicts,0,1,Officers using their words and body language as a form of intimidation in multiple interactions with me as well as physical attacks against Black men in Saratoga,1,1,1,1,1,0,1,1,1,0,0,3,1,1,1,1,1,1,1,1,1,1,1,"Anti-racism training for all officers and staff of SSPD, a civilian police review board that operates independently from SSPD and receives complaints directly, ban all chokeholds, strangleholds, knee holds and hogties, and less police/policing and those funds put toward community programs and services.",No
186,"Jan 26, 2021 2:11:15 PM","Jan 26, 2021 2:17:33 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,MLUx6iGZ/RlVDPh3nzd+4A==,United States,Wynantskill,NY,1,,,,,,,,0,4,4,,1,1,,,,,,1,0,,0,2,1,1,0,1,0,0,0,0,0,4,5,1,1,5,5,5,5,5,5,5,5,,No
187,"Jan 26, 2021 2:11:15 PM","Jan 26, 2021 2:11:15 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,KGa0Xa8lio/5a0xJXIifuA==,United States,Clifton Park,NY,2,,,,,,,7,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
188,"Jan 26, 2021 2:11:40 PM","Jan 26, 2021 2:12:45 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,pKPHEQmHDdMPZri25EFD+w==,United States,Schuylerville,NY,1,,,,,,,7,0,2,2,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,No
189,"Jan 26, 2021 2:23:15 PM","Jan 26, 2021 2:30:55 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,Imi8g3cho/NLKoZyfsyWhQ==,United States,Saratoga Springs,NY,1,,,,,,,7,0,6,2,1,,1,,,,,,1,0,,2,2,0,1,0,2,0,0,0,0,1,4,5,4,4,5,5,5,5,5,5,3,5,,No
190,"Jan 26, 2021 2:24:06 PM","Jan 26, 2021 2:24:06 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,OVgn0suE3K9Y3DjVYGzNEg==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
191,"Jan 26, 2021 2:30:24 PM","Jan 26, 2021 2:30:24 PM",https://mail.saratogapolice.org/,Qyw9YVBpL6Jayo5GOEvRTA==,United States,Secaucus,NJ,2,,,,,,,7,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
192,"Jan 26, 2021 2:40:00 PM","Jan 26, 2021 2:53:10 PM",https://t.co/GcVavWe54R?amp=1,WqY1fUAjdY3ShnhMBr64BQ==,United States,Ballston Spa,NY,1,,,,,,,7,0,5,2,1,1,1,,,,,,0,0,,1,1,2,1,1,1,2,0,1,0,1,0,4,4,4,4,3,3,5,4,5,3,4,More transparency which might help to build more trust in the Department.,Yes
193,"Jan 26, 2021 2:42:53 PM","Jan 26, 2021 2:58:42 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,NvHLSBrMdagCBaSEkjhd6g==,United States,Saratoga Springs,NY,2,,,,,,,7,0,2,1,1,,,,,,,,1,0,,2,0,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,No
194,"Jan 26, 2021 2:48:20 PM","Jan 26, 2021 2:50:42 PM",http://m.facebook.com,ef6BUBMOQ07XXJo4CnqbzQ==,United States,Schenectady,NY,1,,,,,,,7,0,4,1,1,1,1,,,,,,2,0,,1,1,1,1,2,1,2,2,1,0,0,4,4,4,4,4,3,4,4,3,4,4,4,,No
195,"Jan 26, 2021 2:49:30 PM","Jan 26, 2021 2:51:36 PM",https://mail.saratogapolice.org/m/zmain,KdaApC6clOORZxYfUd20/Q==,United States,Clifton Park,NY,3,,,,,,,7,0,3,2,,1,,,,,,,1,0,,1,2,1,1,0,1,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,3,5,,No
